Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Pois chiches - Boîte 265g,U,A,Légumineuses,122.0,0.5,2.7,0.3,0.41,5.5,6.7,85.5802511513487
Avena Crunchy Cacao,Hacendado,A,Céréales,393.0,9.0,6.4,1.6,0.18,11.0,13.0,0.0
Flocons d'avoine complète,Quaker Oats,A,Céréales,375.0,1.1,8.0,1.5,0.01,9.0,11.0,0.0
Cacahuètes grillées sans sel ajouté,Bouton d'or,A,Légumineuses,628.0,5.9,51.0,6.8,0.01,7.0,27.0,75.0
Flageolets verts extra fins,"Marque Repère, Notre Jardin",A,Légumineuses,85.0,0.5,0.7,0.1,0.7,6.5,5.5,85.4852562267392
Wheat Biscuits,By Sainsbury's,A,Céréales,358.0,4.4,2.0,0.6,0.28,10.0,12.0,0.0
Weetabix,Weetabix,A,Céréales,362.0,4.2,2.0,0.6,0.28,10.0,12.0,0.0
Organic baked beans,mr organic,A,Légumineuses,93.0,3.8,0.3,0.1,0.677,3.6,5.1,89.1304347826087
Butter Beans in Water,Napolina,A,Légumineuses,109.0,0.0,0.5,0.0,0.05,6.8,7.2,81.8181818181818
Kidney Bohnen,"Freshona,Kidneybohnen",A,Légumineuses,99.0,0.5,0.6,0.1,0.5,6.0,7.5,0.0
Soja texturizada fina,Hacendado,A,Légumineuses,326.0,10.0,1.3,0.2,0.01,15.0,51.0,0.0
KP Dry Roasted Peanuts,KP,A,Légumineuses,597.0,5.0,46.7,7.67,0.00425,9.0,30.0,99.955375
Fiocchi di avena integrali,CROWNFIELD,A,Céréales,372.0,0.7,7.0,1.3,0.03,10.0,13.5,0.0
Lentilles,"Marque Repère,Notre Jardin",A,Légumineuses,79.0,0.5,0.5,0.1,0.48,4.3,7.1,0.0
Pois chiches Sultanines 265g,"Compagnie Générale De Conserve, Sultanines",A,Légumineuses,126.0,0.8,2.0,0.3,0.7,6.3,6.8,85.4852562267392
Pois chiches HVE Bien cultivés d'aucy 250g,D'aucy,A,Légumineuses,120.0,0.3,2.5,0.3,0.01,5.5,6.7,80.0
